"Covariate","DF","LogLik","diff","statistic","p-value"
"full model",29,-1022.4266101205,NA,NA,NA
"AGE",28,-1023.38102986658,-1,1.90883949215709,0.167092226737776
"B_METANM",28,-1023.3180888324,-1,1.78295742379805,0.181786590783986
"PRADJYN",28,-1022.568805599,-1,0.284390956998323,0.593837564689043
"B_LDHYN",28,-1023.29933912179,-1,1.74545800258375,0.186448745055622
"B_ECOGI",28,-1033.1978403286,-1,21.5424604161883,3.46080585296252e-06
"DIAGTYPE",28,-1025.05368909327,-1,5.25415794554169,0.0218943930049541
"B_HEIGHT",28,-1023.61431625308,-1,2.37541226516464,0.12325905432288
"METMONS",28,-1028.55201987931,-1,12.2508195176054,0.000465053866536912
"BIOPTPCT",28,-1023.68433140172,-1,2.51544256242551,0.112735979713126
"Absolute_Neutrophil_Count",28,-1022.67657458449,-1,0.499928927978772,0.479531352278718
"Aspartate_Amino_Transferase",28,-1035.11442610412,-1,25.375631967245,4.71840911005242e-07
"Bicarbonate",28,-1031.55711472604,-1,18.2610092110742,1.9260950379253e-05
"Chloride",28,-1023.84470245824,-1,2.83618467547717,0.0921628110381277
"Creatinine",28,-1035.10734911941,-1,25.361477997825,4.75315710217008e-07
"Mean_Corpuscular_Volume",28,-1026.37340539238,-1,7.89359054374722,0.00496102818572806
"Phosphorus",28,-1023.22468365481,-1,1.59614706861294,0.206450083040233
"Potassium",28,-1023.12044720709,-1,1.38767417317922,0.238798269059628
"Red_Blood_Cells",28,-1022.95325573001,-1,1.05329121901809,0.304750305415559
"Serum_Urea",28,-1022.72537925841,-1,0.597538275822899,0.439518829820819
"Total_Bilirubin",28,-1023.46156330233,-1,2.06990636366277,0.150230744638793
"Total_Neutrophils",28,-1022.43065928416,-1,0.00809832730783455,0.928294599775092
"target_count",28,-1023.70766322213,-1,2.56210620325874,0.109452676615313
"target_LSSLD",28,-1022.51216092152,-1,0.171101602026056,0.679134629162913
"target_LSLD",28,-1022.68210845182,-1,0.51099666262553,0.47470772647963
"ELIGIBLE",28,-1023.45445233574,-1,2.05568443048173,0.151639101587992
"OTANY",28,-1023.49237610889,-1,2.13153197678298,0.144296476499332
"Pulse",28,-1024.60868794299,-1,4.36415564497543,0.0367026679723413
